pc,Stainless Nut M6
Liter,Wood saver brown 32-004-2 1L
Liter,Wood saver clear 32-005-2 1L
pc,"Bolt and nut with washer and lock washer 1/8 x 1-1/2"""
unit,Schaffen Platform hand truck 250kg
unit,Schaffen Platform hand truck 200kg
pc,Akari PAR30 12 WATTS LED apar30-12dl 1300 k
pc ,Omni PAR30 10 WATTS LED
pc,Omni PAR38 15WATTS LED
pc,Firefly PAR38 14 WATTS LED
pc,Round bar 7.9mm x 6mtrs (20 ft)
pc,"Flat bar 3mm x 1-1/2"" x 6mtrs"
pc,"Angular bar 3mm x 1-1/2"" x 6mtrs"
pc,Square bar 9.5mm x 9.5mm x 20'
pc,Steel Matting 2 x 4 x 8 gauge 3.2mm
pc,Steel Matting 2 x 4 x 8 gauge 2.8mm
pc,Honeywell T6373A1108 mechanical thermostat fan coil thermostat termal control manually operated
pc,Delay on break solid state timer
,Siemens products
pc,Fan belt A-37 Bando
pc,Panter surge protector 1102 On/off neon switch with circuit breaker durable steel housing
pc,Panter surge protector PSP0211
unit,Fire extinguisher 10lbs with 195 psi gauge pressure and rubber hose
pc,"Philips 24PHA4100 TV 24"""
pc,"Samsung 24H4003 TV 24"""
pc,"Skyworth 24"" TV"
pc,"Xtreme 24"" TV"
,Energizer battery product
pc,Fan belt B-45
unit,"SKU00210 smart tv 50"" QUBE with dot dot"
pc,"Hand Tap, 16mm , 2mm Pitch"
pc,"Hand tap, 20mm, 2.5mm Pitch"
pc,"Hand tap, 24mm, 3mm Pitch"
pc,"Drill Bit, HS, 5.1mm Alphen"
pc,"Drill Bit, HS, 8.6mm Alphen"
pc,"Dill Bit, HS, 7mm Alphen"
pc,"Drill Bit, HS, 9mm Alphen"
pc,"Drill Bit, HS, 11 mm Alphen"
pc,"Drill Bit, HS, 10mm Alphen"
pc,"Alum Stair nosing angle type with groove 2mm x 1"" x 2-1/2"" x 20'"
pc,"Alum Stair nosing with luminous strip 2mm x 2"" x 4"" x 8'"
pc,"Alum Stair nosing with luminous strip 2mm x 1"" x 3"" x 8'"
pc,"Alum Stair nosing with luminous strip 2mm x 1"" x 3"" x 20'"
pc,"Alum Stair nosing with luminous strip 2mm x 2"" x 3"" x 8'"
pc,"Alum Stair nosing with luminous strip 2mm x 1"" x 2-3/4"" x 8'"
pc,"Alum Stair nosing angle type with groove 2mm x 1"" x 2-1/2"" x 8'"
pc,"Grinding disc 4"" Tyrolit"
pc,"Cut-off wheel 14"" Tyrolit"
pc,"Cutting disc 4"" tyrolit 2.5mm for stone"
pc,"Cutting disc 4"" Tyrolit 1mm thickness"
Box,"Tox 1/8"" #6"
gross,"Screw for tox 1/8"" #6 x 1"""
gross,"Screw for tox 1/8"" #6 x 1-1/2"""
Box,"Tox 1/8"" #6"
gross,"Screw for tox 1/8"" #6 x 1"""
gross,"Screw for tox 1/8"" #6 x 1-1/2"""
pc,Drill Bit 8mm
pc,Drill Bit 6mm
pc,Masonry Drill Bit 10mm
unit,Magnetic contactor SCN2S Holding coil 110VAC FUJI
unit,Magnetic contactor SCN2 Holding coil 110VAC FUJI
unit,Auxiliary/ Industrial relay SH-4/4 110VAC FUJI
unit,SZRM Interlock FUJI
unit,Magnetic contactor SCN2S Holding coil 110VAC FUJI
unit,Magnetic contactor SCN2 Holding coil 110VAC FUJI
unit,Auxiliary/ Industrial relay SH-4/4 110VAC FUJI 4 pole
unit,SZRM Interlock FUJI
unit,Handheld vaccum cleaner
unit,"External Hard drive , 3tb, 2.5 HBB"
bag,Terminal Ring 5.5 x 8mm non-insulated (100pcs/bag)
bag,Terminal Ring 5.5 x 8mm insulated (100pcs/bag)
,Sandvik products
kg,Fiber glass matting CM600 2oz 30kg/roll
kg,Fiber glass matting CM450 1.5oz 30kg/roll
kg,Fiber glass matting CM300 1oz 30kg/roll
kg,Fiber glass matting CM230 3/4oz 30kg/roll
roll,Fiber glass mesh 45g 50m/roll
roll,Fiber glass mesh 75g 50m/roll
gal,Fiber resin R10/03
Pint,Fiber resin hardener
pail,Drylok Water proofing paint Gray
pail,Drylok Water proofing paint White
500ml,Muriatic acid
unit,Air Compressor 2 HP
pc,GE LED bright stik 10w
pc,GE LED PAR 38 18watts/ GE LED P38W/865/40/33905 PAR 38DL
pc,truk master 3sm motolite
pc,enforcer 3sm motolite
pc,champion 3sm motolite
pc,electron 3sm motolite
,3m mask N95 8210V
unit,Switch assembly for 5tr carrier model ASBFE600BAFP with display
,carrier services and parts
,Carrier makati center
unit,SEF8A Standard exhaust fan with shutter and thermal fuse protection 245mm x 245mm 35W
,Philips lights products
pc,Firefly Basic series 15Watts
pc,"Philips 13804 Essential spotlighting4"""
pc,Acoustic board 2' x 4' x 9mm thick Eris brand
pc,Acoustic board 2' x 4' x 5/8 in (10 pcs per box) armstrong fine fixure
pc,Stainless Allen flat head screw 3 x 20
pc,Stainless Allen flat head screw 4 x 20
pc,Stailness Allen flat head screw 4 x 25
pc,Stainless Cap screw 4 x 20
pc,Stainless Cap screw 4 x 25
pc,Stainless Cap screw 4 x 30
pc,Stainless Cap screw 3 x 20
pc,Stainless Cap screw 3 x 25
pc,Stainless Cap screw 3 x 30
pc,Stainless Allen cap screw
pc,Square D Electrical Circuit breaker
kg,Stainless welding rod 1/8 (approx 28 pc/kg)
roll,"3m 3"" double adhesive tape 50 meters per roll"
